espn_order,player_name,source_player_name,in_current_checkpoint,source_name,source_updated_date,source_url,notes
1,Jahmyr Gibbs,Jahmyr Gibbs,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
2,Bijan Robinson,Bijan Robinson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
3,Ja'Marr Chase,Ja'Marr Chase,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
4,Puka Nacua,Puka Nacua,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
5,Jaxon Smith-Njigba,Jaxon Smith-Njigba,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
6,Jonathan Taylor,Jonathan Taylor,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
7,Christian McCaffrey,Christian McCaffrey,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
8,Amon-Ra St. Brown,Amon-Ra St. Brown,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
9,James Cook III,James Cook III,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
10,CeeDee Lamb,CeeDee Lamb,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
11,De'Von Achane,De'Von Achane,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
12,Justin Jefferson,Justin Jefferson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
13,Saquon Barkley,Saquon Barkley,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
14,Derrick Henry,Derrick Henry,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
15,Chase Brown,Chase Brown,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
16,Josh Allen,Josh Allen,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
17,Drake London,Drake London,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
18,Omarion Hampton,Omarion Hampton,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
19,Ashton Jeanty,Ashton Jeanty,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
20,A.J. Brown,A.J. Brown,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
21,Trey McBride,Trey McBride,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
22,Brock Bowers,Brock Bowers,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
23,Kenneth Walker III,Kenneth Walker III,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
24,Jeremiyah Love,Jeremiyah Love,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
25,Nico Collins,Nico Collins,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
26,Rashee Rice,Rashee Rice,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
27,George Pickens,George Pickens,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
28,Chris Olave,Chris Olave,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
29,Javonte Williams,Javonte Williams,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
30,Malik Nabers,Malik Nabers,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
31,Lamar Jackson,Lamar Jackson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
32,Breece Hall,Breece Hall,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
