player_name,position,tier_source,tier,source_tier_label,scoring_format,source_date,source_url,confidence,notes
Josh Allen,QB,David Hartman / Big Blue View,1,Tier I - The One of One,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Lamar Jackson,QB,David Hartman / Big Blue View,2,Tier II - The Elites,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Drake Maye,QB,David Hartman / Big Blue View,2,Tier II - The Elites,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jalen Hurts,QB,David Hartman / Big Blue View,2,Tier II - The Elites,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Joe Burrow,QB,David Hartman / Big Blue View,2,Tier II - The Elites,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jayden Daniels,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Dak Prescott,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Caleb Williams,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Justin Herbert,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Trevor Lawrence,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jared Goff,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jaxson Dart,QB,David Hartman / Big Blue View,3,Tier III - Solid QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Brock Purdy,QB,David Hartman / Big Blue View,4,Tier IV - Overflow QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Matthew Stafford,QB,David Hartman / Big Blue View,4,Tier IV - Overflow QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Patrick Mahomes II,QB,David Hartman / Big Blue View,4,Tier IV - Overflow QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Bo Nix,QB,David Hartman / Big Blue View,4,Tier IV - Overflow QB1s,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Kyler Murray,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Baker Mayfield,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jordan Love,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Malik Willis,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Sam Darnold,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Tyler Shough,QB,David Hartman / Big Blue View,5,Tier V - The Upside Guys,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Daniel Jones,QB,David Hartman / Big Blue View,6,Tier VI - The Rest,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Bryce Young,QB,David Hartman / Big Blue View,6,Tier VI - The Rest,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Jacoby Brissett,QB,David Hartman / Big Blue View,6,Tier VI - The Rest,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
Aaron Rodgers,QB,David Hartman / Big Blue View,6,Tier VI - The Rest,4-point passing TD; reception scoring not material to QB tiers,2026-08-30,https://www.bigblueview.com/new-york-giants-roster/169387/fantasy-football-2026-final-qb-rankings-and-tiers,verified_article_table,
